subject,trial,movement,noise,sound,tp_evt,fp_evt,fn_evt,se_evt,ppv_evt,f1_evt,n_pred,n_true,duration
14342,1,walk,music,cough,10,2,3,0.7692307692307693,0.8333333333333334,0.8,22,12,9.88
14342,1,walk,music,laugh,0,2,0,nan,0.0,0.0,2,0,11.44
14342,1,walk,music,deep_breathing,0,0,0,nan,nan,nan,0,0,8.99
14342,1,walk,music,throat_clearing,0,0,0,nan,nan,nan,0,0,10.83
14342,1,walk,nothing,cough,9,0,5,0.6428571428571429,1.0,0.782608695652174,13,14,9.21
14342,1,walk,nothing,laugh,0,0,0,nan,nan,nan,0,0,8.37
14342,1,walk,nothing,deep_breathing,0,0,0,nan,nan,nan,0,0,10.36
14342,1,walk,nothing,throat_clearing,0,0,0,nan,nan,nan,0,0,10.13
14342,1,walk,someone_else_cough,cough,13,2,2,0.8666666666666667,0.8666666666666667,0.8666666666666667,18,11,8.47
14342,1,walk,someone_else_cough,laugh,0,1,0,nan,0.0,0.0,1,0,8.27
14342,1,walk,someone_else_cough,deep_breathing,0,0,0,nan,nan,nan,0,0,8.39
14342,1,walk,someone_else_cough,throat_clearing,0,0,0,nan,nan,nan,0,0,9.32
14342,1,walk,traffic,cough,12,2,3,0.8,0.8571428571428571,0.8275862068965517,18,15,10.38
14342,1,walk,traffic,laugh,0,0,0,nan,nan,nan,0,0,9.69
14342,1,walk,traffic,deep_breathing,0,0,0,nan,nan,nan,0,0,8.45
14342,1,walk,traffic,throat_clearing,0,1,0,nan,0.0,0.0,1,0,9.9
14342,2,sit,music,cough,13,0,2,0.8666666666666667,1.0,0.9285714285714286,17,15,9.44
14342,2,sit,music,laugh,0,0,0,nan,nan,nan,0,0,12.76
14342,2,sit,music,deep_breathing,0,0,0,nan,nan,nan,0,0,13.82
14342,2,sit,music,throat_clearing,0,0,0,nan,nan,nan,0,0,12.45
14342,2,sit,nothing,cough,11,3,3,0.7857142857142857,0.7857142857142857,0.7857142857142857,17,14,9.77
14342,2,sit,nothing,laugh,0,0,0,nan,nan,nan,0,0,11.45
14342,2,sit,nothing,deep_breathing,0,0,0,nan,nan,nan,0,0,10.3
14342,2,sit,nothing,throat_clearing,0,1,0,nan,0.0,0.0,1,0,7.24
14342,2,sit,someone_else_cough,cough,7,3,6,0.5384615384615384,0.7,0.6086956521739131,10,12,8.32
14342,2,sit,someone_else_cough,laugh,0,0,0,nan,nan,nan,0,0,11.35
14342,2,sit,someone_else_cough,deep_breathing,0,0,0,nan,nan,nan,0,0,9.49
14342,2,sit,someone_else_cough,throat_clearing,0,0,0,nan,nan,nan,0,0,9.22
14342,2,sit,traffic,cough,14,2,5,0.7368421052631579,0.875,0.8,24,19,11.69
14342,2,sit,traffic,laugh,0,1,0,nan,0.0,0.0,1,0,11.93
14342,2,sit,traffic,deep_breathing,0,0,0,nan,nan,nan,0,0,12.46
14342,2,sit,traffic,throat_clearing,0,0,0,nan,nan,nan,0,0,11.32
14342,2,walk,music,cough,12,1,6,0.6666666666666666,0.9230769230769231,0.7741935483870968,22,13,12.3
14342,2,walk,music,laugh,0,0,0,nan,nan,nan,0,0,11.12
14342,2,walk,music,deep_breathing,0,0,0,nan,nan,nan,0,0,11.1
14342,2,walk,music,throat_clearing,0,0,0,nan,nan,nan,0,0,10.56
14342,2,walk,nothing,cough,11,3,3,0.7857142857142857,0.7857142857142857,0.7857142857142857,21,13,8.96
14342,2,walk,nothing,laugh,0,0,0,nan,nan,nan,0,0,11.47
14342,2,walk,nothing,deep_breathing,0,0,0,nan,nan,nan,0,0,9.82
14342,2,walk,nothing,throat_clearing,0,0,0,nan,nan,nan,0,0,8.08
14342,2,walk,someone_else_cough,cough,8,0,5,0.6153846153846154,1.0,0.7619047619047619,20,12,10.46
14342,2,walk,someone_else_cough,laugh,0,0,0,nan,nan,nan,0,0,11.04
14342,2,walk,someone_else_cough,deep_breathing,0,0,0,nan,nan,nan,0,0,9.26
14342,2,walk,someone_else_cough,throat_clearing,0,0,0,nan,nan,nan,0,0,8.68
14342,2,walk,traffic,cough,9,2,5,0.6428571428571429,0.8181818181818182,0.72,19,12,10.14
14342,2,walk,traffic,laugh,0,0,0,nan,nan,nan,0,0,10.21
14342,2,walk,traffic,deep_breathing,0,1,0,nan,0.0,0.0,1,0,13.31
14342,2,walk,traffic,throat_clearing,0,0,0,nan,nan,nan,0,0,9.03
14547,1,sit,music,cough,9,0,2,0.8181818181818182,1.0,0.9,20,11,8.9
14547,1,sit,music,laugh,0,0,0,nan,nan,nan,0,0,9.55
14547,1,sit,music,deep_breathing,0,0,0,nan,nan,nan,0,0,10.36
14547,1,sit,music,throat_clearing,0,0,0,nan,nan,nan,0,0,8.97
14547,1,sit,nothing,cough,9,0,4,0.6923076923076923,1.0,0.8181818181818182,18,13,10.56
14547,1,sit,nothing,laugh,0,0,0,nan,nan,nan,0,0,11.53
14547,1,sit,nothing,deep_breathing,0,0,0,nan,nan,nan,0,0,15.45
14547,1,sit,nothing,throat_clearing,0,0,0,nan,nan,nan,0,0,12.23
14547,1,sit,someone_else_cough,cough,10,0,3,0.7692307692307693,1.0,0.8695652173913043,22,13,8.55
14547,1,sit,someone_else_cough,laugh,0,0,0,nan,nan,nan,0,0,9.47
14547,1,sit,someone_else_cough,deep_breathing,0,0,0,nan,nan,nan,0,0,10.61
14547,1,sit,someone_else_cough,throat_clearing,0,0,0,nan,nan,nan,0,0,10.47
14547,1,sit,traffic,cough,11,0,3,0.7857142857142857,1.0,0.88,18,12,8.6
14547,1,sit,traffic,laugh,0,2,0,nan,0.0,0.0,2,0,11.55
14547,1,sit,traffic,deep_breathing,0,0,0,nan,nan,nan,0,0,11.3
14547,1,sit,traffic,throat_clearing,0,0,0,nan,nan,nan,0,0,12.14
14547,1,walk,music,cough,10,1,3,0.7692307692307693,0.9090909090909091,0.8333333333333334,21,13,7.94
14547,1,walk,music,laugh,0,1,0,nan,0.0,0.0,1,0,9.93
14547,1,walk,music,deep_breathing,0,0,0,nan,nan,nan,0,0,10.77
14547,1,walk,music,throat_clearing,0,0,0,nan,nan,nan,0,0,13.45
14547,1,walk,nothing,cough,11,3,1,0.9166666666666666,0.7857142857142857,0.8461538461538461,22,12,8.58
14547,1,walk,nothing,laugh,0,0,0,nan,nan,nan,0,0,9.97
14547,1,walk,nothing,deep_breathing,0,0,0,nan,nan,nan,0,0,10.51
14547,1,walk,nothing,throat_clearing,0,1,0,nan,0.0,0.0,1,0,9.48
14547,1,walk,someone_else_cough,cough,10,1,3,0.7692307692307693,0.9090909090909091,0.8333333333333334,18,13,8.24
14547,1,walk,someone_else_cough,laugh,0,1,0,nan,0.0,0.0,1,0,12.19
14547,1,walk,someone_else_cough,deep_breathing,0,1,0,nan,0.0,0.0,1,0,10.35
14547,1,walk,someone_else_cough,throat_clearing,0,0,0,nan,nan,nan,0,0,9.66
14547,1,walk,traffic,cough,8,1,2,0.8,0.8888888888888888,0.8421052631578947,24,10,7.91
14547,1,walk,traffic,laugh,0,0,0,nan,nan,nan,1,0,10.99
14547,1,walk,traffic,deep_breathing,0,0,0,nan,nan,nan,0,0,11.79
14547,1,walk,traffic,throat_clearing,0,0,0,nan,nan,nan,0,0,10.9
14547,2,sit,music,cough,10,0,3,0.7692307692307693,1.0,0.8695652173913043,15,12,8.83
14547,2,sit,music,laugh,0,1,0,nan,0.0,0.0,1,0,13.61
14547,2,sit,music,deep_breathing,0,0,0,nan,nan,nan,0,0,11.0
14547,2,sit,music,throat_clearing,0,0,0,nan,nan,nan,0,0,12.14
14547,2,sit,nothing,cough,9,2,3,0.75,0.8181818181818182,0.782608695652174,23,12,8.08
14547,2,sit,nothing,laugh,0,0,0,nan,nan,nan,0,0,10.38
14547,2,sit,nothing,deep_breathing,0,0,0,nan,nan,nan,0,0,10.18
14547,2,sit,nothing,throat_clearing,0,1,0,nan,0.0,0.0,1,0,10.29
14547,2,sit,someone_else_cough,cough,9,3,2,0.8181818181818182,0.75,0.782608695652174,17,11,7.46
14547,2,sit,someone_else_cough,laugh,0,3,0,nan,0.0,0.0,3,0,11.5
14547,2,sit,someone_else_cough,deep_breathing,0,0,0,nan,nan,nan,0,0,9.09
14547,2,sit,someone_else_cough,throat_clearing,0,0,0,nan,nan,nan,0,0,8.14
14547,2,sit,traffic,cough,10,0,7,0.5882352941176471,1.0,0.7407407407407407,30,17,10.87
14547,2,sit,traffic,laugh,0,0,0,nan,nan,nan,0,0,10.96
14547,2,sit,traffic,deep_breathing,0,0,0,nan,nan,nan,0,0,10.59
14547,2,sit,traffic,throat_clearing,0,0,0,nan,nan,nan,0,0,11.16
14547,2,walk,music,cough,10,0,5,0.6666666666666666,1.0,0.8,28,15,9.65
14547,2,walk,music,laugh,0,0,0,nan,nan,nan,0,0,13.89
14547,2,walk,music,deep_breathing,0,0,0,nan,nan,nan,0,0,13.21
14547,2,walk,music,throat_clearing,0,0,0,nan,nan,nan,0,0,12.05
14547,2,walk,nothing,cough,12,2,0,1.0,0.8571428571428571,0.9230769230769231,26,12,7.97
14547,2,walk,nothing,laugh,0,1,0,nan,0.0,0.0,1,0,11.46
